package,version,snapshot_time,folder,subfolder,submission_time
ARCHISSUR,0.0.1,2025-06-28 17:24:58,newbies,NA,2025-06-24 18:50:00
ActisoftR,0.0.2,2025-06-28 17:24:58,human,UL,2024-09-11
BiasedUrn,2.0.12,2025-06-28 17:24:58,human,UL,2024-05-11
ClusterGVis,0.1.4,2025-06-28 17:24:58,waiting,NA,2025-06-23 14:10:00
DFA,1.0.0,2025-06-28 17:24:58,human,UL,2024-02-17
DIDmultiplegtDYN,1.0.3,2025-06-28 17:24:58,human,UL,2024-02-22
DILDEGMEZ,0.1.0,2025-06-28 17:24:58,newbies,NA,2025-06-28 15:45:00
EMMAgeo,0.9.9,2025-06-28 17:24:58,newbies,NA,2025-06-28 11:00:00
EpiNow2,1.3.3,2025-06-28 17:24:58,human,UL,2022-11-01
FKmL,0.1.1,2025-06-28 17:24:58,newbies,NA,2025-06-27 06:33:00
FLAG,0.1,2025-06-28 17:24:58,human,UL,2025-03-31 17:00:00
GCEstim,0.1.0,2025-06-28 17:24:58,newbies,NA,2025-06-28 10:51:00
GJRM.data,0.1-1,2025-06-28 17:24:58,newbies,NA,2025-06-25 18:27:00
HARr,1.1.0,2025-06-28 17:24:58,newbies,NA,2025-06-27 18:51:00
LMest,3.2.6,2025-06-28 17:24:58,newbies,NA,2025-06-28 10:59:00
LTFGRS,1.0.0,2025-06-28 17:24:58,newbies,NA,2025-06-24 15:41:00
LogicForest,2.1.0,2025-06-28 17:24:58,human,UL,2024-03-08
LogicForest,2.1.1,2025-06-28 17:24:58,human,UL,2024-03-12
LongDecompHE,0.1.0,2025-06-28 17:24:58,newbies,NA,2025-06-28 17:02:00
MIDASim,2.0,2025-06-28 17:24:58,newbies,NA,2025-06-24 23:26:00
MLCIRTwithin,2.1.2,2025-06-28 17:24:58,newbies,NA,2025-06-28 10:44:00
PFW,0.1.0,2025-06-28 17:24:58,newbies,NA,2025-06-28 07:45:00
RBaM,1.0.0,2025-06-28 17:24:58,newbies,NA,2025-06-27 12:11:00
Rato,0.1.0,2025-06-28 17:24:58,newbies,NA,2025-06-27 08:48:00
Rfast,2.0.8,2025-06-28 17:24:58,human,UL,2023-06-25
SATS,1.0.2,2025-06-28 17:24:58,newbies,NA,2025-06-25 18:34:00
SLGP,1.0.0,2025-06-28 17:24:58,newbies,NA,2025-06-26 16:43:00
SimBaRepro,0.1.0,2025-06-28 17:24:58,newbies,NA,2025-06-25 16:56:00
SingleCellComplexHeatMap,0.1.2,2025-06-28 17:24:58,newbies,NA,2025-06-25 08:09:00
SubgrpID,0.11,2025-06-28 17:24:58,human,UL,2024-01-17
TreatmentPatterns,2.6.8,2025-06-28 17:24:58,human,UL,2024-08-23
TrueWAP,0.1.0,2025-06-28 17:24:58,newbies,NA,2025-06-27 22:26:00
VFP,1.4.3,2025-06-28 17:24:58,human,UL,2025-01-23 18:37:00
VIGoR,1.1.4,2025-06-28 17:24:58,human,UL,2024-05-28
adbcpostgresql,0.8.0,2025-06-28 17:24:58,human,UL,2023-11-10
animint2,2023.3.10,2025-06-28 17:24:58,human,UL,2023-03-12
autograph,0.1.2,2025-06-28 17:24:58,newbies,NA,2025-06-27 22:38:00
backtestGraphics,0.1.6,2025-06-28 17:24:58,human,UL,2024-12-20
bakepipe,0.2,2025-06-28 17:24:58,newbies,NA,2025-06-26 08:28:00
bea.R,1.1.0,2025-06-28 17:24:58,human,UL,2025-04-02 11:19:00
blockcluster,4.5.5,2025-06-28 17:24:58,human,UL,2024-02-23
bregr,1.0.0,2025-06-28 17:24:58,newbies,NA,2025-06-24 16:38:00
caretSDM,1.1.0,2025-06-28 17:24:58,newbies,NA,2025-06-24 15:27:00
cargo,0.3.12,2025-06-28 17:24:58,human,UL,2022-09-28
causalBETA,0.1.1,2025-06-28 17:24:58,newbies,NA,2025-06-24 19:39:00
cgalMeshes,2.2.0,2025-06-28 17:24:58,human,UL,2023-06-24
ciflyr,0.1.1,2025-06-28 17:24:58,waiting,NA,2025-06-24 12:26:00
climate,1.1.0,2025-06-28 17:24:58,human,UL,2022-10-12
clpAPI,1.3.2,2025-06-28 17:24:58,human,UL,2022-10-21
coala,0.7.1,2025-06-28 17:24:58,human,UL,2022-12-30
connections,0.1.1,2025-06-28 17:24:58,human,UL,2023-12-16
contdid,0.1.0,2025-06-28 17:24:58,newbies,NA,2025-06-28 05:19:00
cplexAPI,1.5.1,2025-06-28 17:24:58,human,UL,2022-10-21
dodgr,0.2.21,2025-06-28 17:24:58,human,UL,2023-06-01
door,0.0.1,2025-06-28 17:24:58,newbies,NA,2025-06-24 21:55:00
ecoteach,0.1.0,2025-06-28 17:24:58,newbies,NA,2025-06-25 16:35:00
et.nwfva,0.1.1,2025-06-28 17:24:58,human,UL,2022-11-22
evenBreak,1.0,2025-06-28 17:24:58,human,UL,2024-10-07
exactLTRE,0.1.2,2025-06-28 17:24:58,newbies,NA,2025-06-28 12:15:00
extraSuperpower,1.4.3,2025-06-28 17:24:58,newbies,NA,2025-06-26 12:42:00
factset.protobuf.stachextensions,1.0.2,2025-06-28 17:24:58,human,UL,2022-11-18
flir,0.5.0,2025-06-28 17:24:58,newbies,NA,2025-06-24 20:09:00
fluxtools,0.3.0,2025-06-28 17:24:58,newbies,NA,2025-06-25 20:41:00
fracARMA,0.1.0,2025-06-28 17:24:58,human,UL,2025-02-13 15:24:00
