package,version,snapshot_time,folder,subfolder,submission_time
BeeBDC,1.0.0,2023-12-15 12:14:49,human,UL,2023-09-13 08:55:00
Boom,0.9.13,2023-12-15 12:14:49,recheck,NA,2023-12-15 00:59:00
EpiNow2,1.3.3,2023-12-15 12:14:49,human,UL,2022-11-01
Glarmadillo,1.1.1,2023-12-15 12:14:49,newbies,NA,2023-12-15 11:40:00
L1centrality,0.0.1,2023-12-15 12:14:49,newbies,NA,2023-12-15 05:33:00
MSML,1.0.0.0,2023-12-15 12:14:49,newbies,NA,2023-12-15 00:27:00
PhyInsight,0.1.0,2023-12-15 12:14:49,newbies,NA,2023-12-15 06:10:00
RcppPlanc,1.0.0,2023-12-15 12:14:49,waiting,NA,2023-12-13 00:44:00
Rfast,2.0.8,2023-12-15 12:14:49,human,UL,2023-06-25 16:58:00
adbcpostgresql,0.8.0,2023-12-15 12:14:49,human,UL,2023-11-10 03:06:00
admiraldev,1.0.0,2023-12-15 12:14:49,waiting,NA,2023-12-11 17:13:00
animint2,2023.3.10,2023-12-15 12:14:49,human,UL,2023-03-12
blackmarbler,0.1.1,2023-12-15 12:14:49,waiting,NA,2023-12-13 19:47:00
bmstdr,0.7.5,2023-12-15 12:14:49,inspect,NA,2023-12-14 16:18:00
cargo,0.3.12,2023-12-15 12:14:49,human,UL,2022-09-28
cgalMeshes,2.2.0,2023-12-15 12:14:49,human,UL,2023-06-24 20:23:00
climate,1.1.0,2023-12-15 12:14:49,human,UL,2022-10-12
clpAPI,1.3.2,2023-12-15 12:14:49,human,UL,2022-10-21
coala,0.7.1,2023-12-15 12:14:49,human,UL,2022-12-30
cplexAPI,1.5.1,2023-12-15 12:14:49,human,UL,2022-10-21
dodgr,0.2.21,2023-12-15 12:14:49,human,UL,2023-06-01
et.nwfva,0.1.1,2023-12-15 12:14:49,human,UL,2022-11-22
explainer,1.0.0,2023-12-15 12:14:49,newbies,NA,2023-12-15 11:01:00
factset.protobuf.stachextensions,1.0.2,2023-12-15 12:14:49,human,UL,2022-11-18
fanyi,0.0.4,2023-12-15 12:14:49,newbies,NA,2023-12-15 02:26:00
fpc,2.2-11,2023-12-15 12:14:49,publish,NA,2023-12-14 22:58:00
fritools,4.0.0,2023-12-15 12:14:49,human,UL,2022-10-12
ganGenerativeData,1.5.5,2023-12-15 12:14:49,waiting,NA,2023-12-14 22:46:00
gdalBindings,0.1.8,2023-12-15 12:14:49,newbies,NA,2023-12-15 03:36:00
gdalraster,1.0.0,2023-12-15 12:14:49,human,UL,2023-05-05
gifski,1.12.0-2,2023-12-15 12:14:49,human,UL,2023-08-09 11:13:00
hdbma,1.0,2023-12-15 12:14:49,newbies,NA,2023-12-15 02:56:00
lavaanExtra,0.1.9.pdf,2023-12-15 12:14:49,human,UL,2023-10-15 15:38:00
mMARCH.AC,2.9.2.0,2023-12-15 12:14:49,human,UL,2023-07-07 15:37:00
mdsdt,1.3,2023-12-15 12:14:49,human,UL,2023-10-15 15:52:00
multichull,2.0.0,2023-12-15 12:14:49,waiting,NA,2023-12-13 13:15:00
pretest,0.2,2023-12-15 12:14:49,human,UL,2023-10-16 20:38:00
reflimR,1.0.2,2023-12-15 12:14:49,newbies,NA,2023-12-15 09:51:00
sccore,1.0.3,2023-12-15 12:14:49,human,UL,2023-03-12
sf,1.0-15,2023-12-15 12:14:49,pretest,NA,2023-12-15 12:00:00
sf,1.0-15,2023-12-15 12:14:49,waiting,NA,2023-12-14 09:18:00
snpAIMeR,2.1.0,2023-12-15 12:14:49,newbies,NA,2023-12-14 23:57:00
targeted,0.4,2023-12-15 12:14:49,waiting,NA,2023-12-11 09:34:00
vivid,0.2.6,2023-12-15 12:14:49,human,UL,2023-04-03
