package,version,snapshot_time,folder,subfolder,submission_time
AlphaHull3D,1.0.0,2022-10-19 08:20:08,newbies,NA,2022-10-18 15:31:00
arkhe,1.0.0,2022-10-19 08:20:08,waiting,NA,2022-10-18 20:09:00
asteRisk,1.4.2,2022-10-19 08:20:08,pretest,NA,2022-10-19 04:19:00
ASV,1.1.1,2022-10-19 08:20:08,pretest,NA,2022-10-19 08:12:00
BAS,1.6.3,2022-10-19 08:20:08,pretest,NA,2022-10-19 03:29:00
Boom,0.9.11,2022-10-19 08:20:08,human,clang15,2022-10-18 19:01:00
breakaway,4.8.0,2022-10-19 08:20:08,inspect,NA,2022-10-14 21:18:00
campaignmanageR,0.1.0,2022-10-19 08:20:08,newbies,NA,2022-10-18 18:45:00
cargo,0.3.12,2022-10-19 08:20:08,inspect,NA,2022-09-28 06:53:00
climate,1.1.0,2022-10-19 08:20:08,pending,NA,2022-10-12 15:28:00
covidmx,0.7.2,2022-10-19 08:20:08,newbies,NA,2022-10-18 16:42:00
econetwork,0.7.0,2022-10-19 08:20:08,newbies,NA,2022-10-18 14:55:00
elections.dtree,1.0.1,2022-10-19 08:20:08,pending,NA,2022-10-11 22:51:00
EpiNow2,1.3.3,2022-10-19 08:20:08,inspect,NA,2022-10-18 19:51:00
ffsimulator,1.2.2,2022-10-19 08:20:08,inspect,NA,2022-10-16 19:39:00
fritools,4.0.0,2022-10-19 08:20:08,pending,NA,2022-10-12 15:47:00
gstat,2.1-0,2022-10-19 08:20:08,human,clang15,2022-10-18 20:28:00
gstsm,1.0.0,2022-10-19 08:20:08,pretest,NA,2022-10-19 06:53:00
highOrderPortfolios,0.1.0,2022-10-19 08:20:08,pretest,NA,2022-10-19 05:22:00
HTRX,1.0.8,2022-10-19 08:20:08,waiting,NA,2022-10-12 16:45:00
imagine,1.5.4,2022-10-19 08:20:08,human,clang14,2022-10-18 18:48:00
ISEtools,3.2.0,2022-10-19 08:20:08,inspect,NA,2022-10-15 01:08:00
jsonlite,1.8.3,2022-10-19 08:20:08,waiting,NA,2022-10-18 15:42:00
kfino,1.0.0,2022-10-19 08:20:08,publish,NA,2022-10-10 08:35:00
ktweedie,1.0.0,2022-10-19 08:20:08,newbies,NA,2022-10-18 19:21:00
L1pack,0.41-2,2022-10-19 08:20:08,pretest,NA,2022-10-19 02:27:00
lintr,3.0.2,2022-10-19 08:20:08,inspect,NA,2022-10-11 21:14:00
LSX,1.1.3,2022-10-19 08:20:08,pretest,NA,2022-10-19 02:17:00
MedianaDesigner,0.9,2022-10-19 08:20:08,pretest,NA,2022-10-19 02:59:00
minqa,1.2.5,2022-10-19 08:20:08,pretest,NA,2022-10-19 06:31:00
MOCHA,0.1.0,2022-10-19 08:20:08,newbies,NA,2022-10-19 02:06:00
MSTest,0.1.0,2022-10-19 08:20:08,newbies,NA,2022-10-18 16:35:00
nda,0.1.7,2022-10-19 08:20:08,waiting,NA,2022-10-15 11:45:00
occTest,0.11,2022-10-19 08:20:08,waiting,NA,2022-10-12 08:47:00
oews2018,1.0.0,2022-10-19 08:20:08,waiting,NA,2022-09-23 21:27:00
oews2019,1.0.0,2022-10-19 08:20:08,waiting,NA,2022-09-23 21:14:00
OpenMx,2.20.7,2022-10-19 08:20:08,human,clang14,2022-10-19 00:46:00
paletteer,1.5.0,2022-10-19 08:20:08,inspect,NA,2022-10-17 05:02:00
PMwR,0.18-0,2022-10-19 08:20:08,pretest,NA,2022-10-19 06:16:00
polyclip,1.10-2,2022-10-19 08:20:08,pretest,NA,2022-10-19 04:33:00
PolycrossDesigns,1.0.0,2022-10-19 08:20:08,newbies,NA,2022-10-17 13:31:00
prolific.api,0.5,2022-10-19 08:20:08,newbies,NA,2022-10-18 15:58:00
qlifetable,0.0.1-11,2022-10-19 08:20:08,human,UL,2022-09-22 15:02:00
rcssci,0.2.0,2022-10-19 08:20:08,waiting,NA,2022-10-14 06:05:00
rstream,1.3.7,2022-10-19 08:20:08,human,clang15,2022-10-18 23:03:00
rTRIPLEXCWFlux,0.1.0,2022-10-19 08:20:08,pretest,NA,2022-10-19 03:47:00
rxode2,2.0.9,2022-10-19 08:20:08,human,clang15,2022-10-18 20:00:00
salso,0.3.9,2022-10-19 08:20:08,inspect,NA,2022-07-03 00:00:00
scoringfunctions,0.0.4,2022-10-19 08:20:08,publish,NA,2022-10-18 09:29:00
sdcMicro,5.7.4,2022-10-19 08:20:08,pending,NA,2022-10-13 16:27:00
SHT,0.1.8,2022-10-19 08:20:08,publish,NA,2022-10-13 23:43:00
spatstat.utils,3.0-0,2022-10-19 08:20:08,pretest,NA,2022-10-19 05:54:00
sybil,2.2.1,2022-10-19 08:20:08,waiting,NA,2022-10-13 14:09:00
TCIU,1.2.1,2022-10-19 08:20:08,pretest,NA,2022-10-19 04:54:00
traudem,1.0.1,2022-10-19 08:20:08,newbies,NA,2022-10-18 16:16:00
treemisc,0.0.1,2022-10-19 08:20:08,newbies,NA,2022-10-18 14:16:00
