package,version,snapshot_time,folder,subfolder,submission_time
AZIAD,0.0.1,2022-03-10 13:33:23,newbies,NA,2022-03-09 17:16:00
bambooHR,0.1.0,2022-03-10 13:33:23,inspect,NA,2022-03-10 10:11:00
BBmisc,1.12,2022-03-10 13:33:23,recheck,NA,2022-03-10 10:25:00
BigDataStatMeth,0.99.31,2022-03-10 13:33:23,pending,NA,2022-03-09 20:55:00
cats,1.0.2,2022-03-10 13:33:23,inspect,NA,2022-03-10 11:54:00
cheem,0.2.0,2022-03-10 13:33:23,pending,NA,2022-03-09 22:45:00
cpop,1.0.0,2022-03-10 13:33:23,inspect,NA,2022-03-10 10:18:00
deBif,0.1.0,2022-03-10 13:33:23,newbies,NA,2022-03-10 07:42:00
deforestable,3.0.0,2022-03-10 13:33:23,inspect,NA,2022-03-10 12:15:00
dimRed,0.2.5,2022-03-10 13:33:23,pretest,NA,2022-03-10 12:32:00
disprose,0.1.6,2022-03-10 13:33:23,waiting,NA,2022-03-07 01:30:00
glmnet,4.1-4,2022-03-10 13:33:23,waiting,NA,2022-03-09 00:25:00
inet,0.1.0,2022-03-10 13:33:23,newbies,NA,2022-03-10 07:43:00
insee,1.1.4,2022-03-10 13:33:23,pretest,NA,2022-03-10 12:32:00
Matrix,1.4-1,2022-03-10 13:33:23,waiting,NA,2022-03-09 11:10:00
MHDA,1.0,2022-03-10 13:33:23,human,JH,2022-03-08 13:49:00
msaeHB,0.1.0,2022-03-10 13:33:23,newbies,NA,2022-03-09 18:08:00
multilevelmod,0.1.0,2022-03-10 13:33:23,newbies,NA,2022-03-09 14:46:00
precrec,0.12.9,2022-03-10 13:33:23,pretest,NA,2022-03-10 12:19:00
prider,1.0.4,2022-03-10 13:33:23,newbies,NA,2022-03-10 10:37:00
rankFD,0.1.1,2022-03-10 13:33:23,inspect,NA,2022-02-10 21:17:00
rbedrock,0.2.0,2022-03-10 13:33:23,waiting,NA,2022-03-08 23:50:00
rlemon,0.1.0,2022-03-10 13:33:23,newbies,NA,2022-03-10 01:38:00
saeHB.gpois,0.1.0,2022-03-10 13:33:23,newbies,NA,2022-03-09 18:51:00
socialrisk,0.5.0,2022-03-10 13:33:23,newbies,NA,2022-03-09 23:27:00
staRdom,1.1.25,2022-03-10 13:33:23,inspect,NA,2022-03-10 09:49:00
stepSplitReg,1.0.1,2022-03-10 13:33:23,pending,NA,2022-03-09 21:36:00
survivalREC,1.0,2022-03-10 13:33:23,newbies,NA,2022-03-09 21:03:00
TDA,1.8.6,2022-03-10 13:33:23,waiting,NA,2022-02-28 14:47:00
udunits2,0.13.3,2022-03-10 13:33:23,waiting,NA,2022-02-17 04:34:00
