package,version,snapshot_time,folder,subfolder,submission_time
BeeBDC,1.0.0,2023-09-25 07:17:49,human,UL,2023-09-13 09:55:00
BioM2,1.0.1,2023-09-25 07:17:49,waiting,NA,2023-09-24 06:55:00
DRviaSPCN,0.1.3,2023-09-25 07:17:49,pretest,NA,2023-09-25 04:27:00
EpiNow2,1.3.3,2023-09-25 07:17:49,human,UL,2022-11-01
ExGaussEstim,0.1.1,2023-09-25 07:17:49,newbies,NA,2023-09-22 14:40:00
ExtremalDep,0.0.4-1,2023-09-25 07:17:49,newbies,NA,2023-09-22 15:08:00
GWalkR,0.1.3,2023-09-25 07:17:49,pretest,NA,2023-09-25 05:50:00
GameTheory,2.91,2023-09-25 07:17:49,waiting,NA,2023-09-21 09:57:00
NGCHMSupportFiles,1.0.1,2023-09-25 07:17:49,newbies,NA,2023-09-22 16:55:00
OTclust,1.0.5,2023-09-25 07:17:49,newbies,NA,2023-09-25 02:28:00
RGN,1.0.0,2023-09-25 07:17:49,newbies,NA,2023-09-24 01:39:00
RPDTest,0.0.1,2023-09-25 07:17:49,newbies,NA,2023-09-25 01:29:00
Rfast,2.0.8,2023-09-25 07:17:49,human,UL,2023-06-25 17:58:00
SeuratObject,4.1.4,2023-09-25 07:17:49,waiting,NA,2023-09-16 01:02:00
VSR,1.0.0,2023-09-25 07:17:49,newbies,NA,2023-09-25 00:16:00
adbcpostgresql,0.6.0,2023-09-25 07:17:49,human,UL,2023-08-31 17:54:00
adestr,0.5.0,2023-09-25 07:17:49,newbies,NA,2023-09-22 20:41:00
animint2,2023.3.10,2023-09-25 07:17:49,human,UL,2023-03-12
bayesnec,2.1.1.0,2023-09-25 07:17:49,waiting,NA,2023-09-23 01:27:00
boiwsa,1.0.0,2023-09-25 07:17:49,newbies,NA,2023-09-24 15:26:00
bulkreadr,1.0.0,2023-09-25 07:17:49,waiting,NA,2023-09-20 18:22:00
cargo,0.3.12,2023-09-25 07:17:49,human,UL,2022-09-28
cgalMeshes,2.2.0,2023-09-25 07:17:49,human,UL,2023-06-24 21:23:00
climate,1.1.0,2023-09-25 07:17:49,human,UL,2022-10-12
clpAPI,1.3.2,2023-09-25 07:17:49,human,UL,2022-10-21
coala,0.7.1,2023-09-25 07:17:49,human,UL,2022-12-30
cplexAPI,1.5.1,2023-09-25 07:17:49,human,UL,2022-10-21
dodgr,0.2.21,2023-09-25 07:17:49,human,UL,2023-06-01 16:00:00
et.nwfva,0.1.1,2023-09-25 07:17:49,human,UL,2022-11-22
factset.protobuf.stachextensions,1.0.2,2023-09-25 07:17:49,human,UL,2022-11-18
fritools,4.0.0,2023-09-25 07:17:49,human,UL,2022-10-12
gasfluxes,0.6-1,2023-09-25 07:17:49,pretest,NA,2023-09-25 07:11:00
gdalraster,1.0.0,2023-09-25 07:17:49,human,UL,2023-05-05 01:19:00
geocausal,0.2.1,2023-09-25 07:17:49,waiting,NA,2023-09-23 05:28:00
geohabnet,1.0.0,2023-09-25 07:17:49,pretest,NA,2023-09-25 06:26:00
ggpolypath,0.3.0,2023-09-25 07:17:49,recheck,NA,2023-09-25 02:47:00
gifski,1.12.0-2,2023-09-25 07:17:49,human,UL,2023-08-09 12:13:00
highlighter,0.1,2023-09-25 07:17:49,newbies,NA,2023-09-23 07:01:00
iemisc,1.0.4,2023-09-25 07:17:49,inspect,NA,2023-09-25 02:31:00
iemiscdata,1.0.0,2023-09-25 07:17:49,waiting,NA,2023-09-21 03:55:00
logitr,1.1.1,2023-09-25 07:17:49,inspect,NA,2023-09-24 20:50:00
lubridate,1.9.3,2023-09-25 07:17:49,waiting,NA,2023-09-24 20:46:00
mMARCH.AC,2.9.2.0,2023-09-25 07:17:49,human,UL,2023-07-07 16:37:00
mcgibbsit,1.2.2,2023-09-25 07:17:49,newbies,NA,2023-09-24 23:55:00
optimizeR,0.3.3,2023-09-25 07:17:49,waiting,NA,2023-09-18 18:36:00
pRecipe,3.0.1-1,2023-09-25 07:17:49,inspect,NA,2023-09-25 02:23:00
parfm,2.7.7,2023-09-25 07:17:49,human,UL,2022-11-25
pesel,0.7.5,2023-09-25 07:17:49,waiting,NA,2023-08-14 11:09:00
rtsdata,0.1.4,2023-09-25 07:17:49,pretest,NA,2023-09-25 04:07:00
sMSROC,0.1.1,2023-09-25 07:17:49,pretest,NA,2023-09-25 04:54:00
sccore,1.0.3,2023-09-25 07:17:49,human,UL,2023-03-12
tidydann,0.1.0,2023-09-25 07:17:49,newbies,NA,2023-09-25 02:25:00
transreg,1.0.0,2023-09-25 07:17:49,newbies,NA,2023-09-24 10:34:00
vivid,0.2.6,2023-09-25 07:17:49,human,UL,2023-04-03 19:00:00
xgboost,2.0.0.1,2023-09-25 07:17:49,waiting,NA,2023-09-22 15:12:00
ymd,0.1.0,2023-09-25 07:17:49,pending,NA,2023-09-21 19:44:00
