package,version,snapshot_time,folder,subfolder,submission_time
BH,1.81.0-1,2023-01-18 14:24:41,waiting,NA,2023-01-17 23:55:00
callsync,0.0.3,2023-01-18 14:24:41,newbies,NA,2023-01-18 13:22:00
cargo,0.3.12,2023-01-18 14:24:41,human,UL,2022-09-28 05:53:00
climate,1.1.0,2023-01-18 14:24:41,human,UL,2022-10-12 14:28:00
clpAPI,1.3.2,2023-01-18 14:24:41,human,UL,2022-10-21 13:20:00
coala,0.7.1,2023-01-18 14:24:41,human,UL,2022-12-30 15:35:00
cplexAPI,1.5.1,2023-01-18 14:24:41,human,UL,2022-10-21 13:23:00
EpiNow2,1.3.3,2023-01-18 14:24:41,human,UL,2022-11-01 15:20:00
et.nwfva,0.1.1,2023-01-18 14:24:41,human,UL,2022-11-22 09:51:00
factset.protobuf.stachextensions,1.0.2,2023-01-18 14:24:41,human,UL,2022-11-18 12:46:00
fritools,4.0.0,2023-01-18 14:24:41,human,UL,2022-10-12 14:47:00
fwildclusterboot,0.12.1,2023-01-18 14:24:41,human,UL,2022-11-20 10:13:00
libgeos,3.11.1-1,2023-01-18 14:24:41,pending,NA,2023-01-17 03:59:00
minpack.lm,1.2-3,2023-01-18 14:24:41,waiting,NA,2023-01-17 11:01:00
parfm,2.7.7,2023-01-18 14:24:41,human,UL,2022-11-25 13:44:00
pomp,4.6,2023-01-18 14:24:41,human,UL,2023-01-09 23:08:00
qfa,1.2,2023-01-18 14:24:41,human,UL,2023-01-18 10:56:00
QurvE,1.0,2023-01-18 14:24:41,human,UL,2023-01-12 10:45:00
QurvE,1.0.pdf,2023-01-18 14:24:41,human,UL,2023-01-12 10:46:00
riot,1.1.1,2023-01-18 14:24:41,inspect,NA,2023-01-16 15:27:00
shiny.benchmark,0.1.1,2023-01-18 14:24:41,newbies,NA,2023-01-18 13:31:00
smooth,3.2.0,2023-01-18 14:24:41,waiting,NA,2023-01-17 23:47:00
stevedata,0.9.0,2023-01-18 14:24:41,inspect,NA,2023-01-18 14:06:00
USA.state.boundaries,1.0.1,2023-01-18 14:24:41,inspect,NA,2023-01-12 15:48:00
zyp,0.11,2023-01-18 14:24:41,waiting,NA,2023-01-12 03:13:00
