package,version,snapshot_time,folder,subfolder,submission_time
abn,2.7-1,2022-04-22 15:39:10,pending,NA,2022-04-21 14:43:00
AsymmetricSORDs,1.0.0,2022-04-22 15:39:10,newbies,NA,2022-04-22 08:31:00
BartMixVs,1.0,2022-04-22 15:39:10,newbies,NA,2022-04-21 22:25:00
baseballr,1.2.0,2022-04-22 15:39:10,newbies,NA,2022-04-21 20:05:00
cli,3.3.0,2022-04-22 15:39:10,waiting,NA,2022-04-21 12:31:00
CopSens,0.1.0,2022-04-22 15:39:10,newbies,NA,2022-04-21 23:07:00
DPpack,0.0.1,2022-04-22 15:39:10,newbies,NA,2022-04-22 01:10:00
drtmle,1.1.1,2022-04-22 15:39:10,pending,NA,2022-04-20 20:56:00
duckdb,0.3.3,2022-04-22 15:39:10,waiting,NA,2022-04-11 17:43:00
EvCombR,0.1-4,2022-04-22 15:39:10,waiting,NA,2022-04-21 07:21:00
GeoFIS,1.0.3,2022-04-22 15:39:10,pending,NA,2022-04-22 09:24:00
hdpGLM,1.0.1,2022-04-22 15:39:10,pending,NA,2022-04-21 18:18:00
iCAMP,1.5.9,2022-04-22 15:39:10,waiting,NA,2022-04-22 05:45:00
ir,0.2.0,2022-04-22 15:39:10,newbies,NA,2022-04-22 10:39:00
lfc,0.2.2,2022-04-22 15:39:10,newbies,NA,2022-04-21 19:39:00
listr,0.0.2,2022-04-22 15:39:10,newbies,NA,2022-04-22 12:05:00
mlr3proba,0.4.9,2022-04-22 15:39:10,pending,NA,2022-04-21 11:03:00
MODIStsp,2.0.8,2022-04-22 15:39:10,inspect,NA,2022-04-21 13:52:00
nls2,0.3-2,2022-04-22 15:39:10,waiting,NA,2022-04-15 19:19:00
paleotree,3.4.4,2022-04-22 15:39:10,inspect,NA,2022-04-21 13:53:00
pedometrics,0.10.0,2022-04-22 15:39:10,inspect,NA,2022-04-20 15:08:00
PUPMCR,0.1.0,2022-04-22 15:39:10,pretest,NA,2022-04-22 13:32:00
qoi,0.0.3,2022-04-22 15:39:10,newbies,NA,2022-04-21 19:56:00
quantreg,5.93,2022-04-22 15:39:10,inspect,NA,2022-04-20 09:18:00
raster,3.5-18,2022-04-22 15:39:10,waiting,NA,2022-04-13 16:00:00
rbounds,2.2,2022-04-22 15:39:10,waiting,NA,2022-04-20 17:47:00
rsdepth,0.1-22,2022-04-22 15:39:10,waiting,NA,2022-04-18 18:23:00
SPECIES,1.1.1,2022-04-22 15:39:10,waiting,NA,2022-04-22 11:50:00
TextForecast,0.1.3,2022-04-22 15:39:10,waiting,NA,2022-04-22 12:01:00
tkImgR,0.0.1,2022-04-22 15:39:10,newbies,NA,2022-04-21 17:49:00
track2KBA,1.0.2,2022-04-22 15:39:10,inspect,NA,2022-04-22 12:30:00
tramME,1.0.1,2022-04-22 15:39:10,inspect,NA,2022-04-22 12:56:00
unmarked,1.2.1,2022-04-22 15:39:10,pretest,NA,2022-04-22 13:27:00
VARSEDIG,2.2,2022-04-22 15:39:10,inspect,NA,2022-04-19 17:02:00
WienR,0.3-6,2022-04-22 15:39:10,pending,NA,2022-04-22 10:36:00
