package,version,snapshot_time,folder,subfolder,submission_time
autoGO,0.9,2023-01-13 20:14:41,newbies,NA,2023-01-13 16:47:00
biomod2,4.2-2,2023-01-13 20:14:41,waiting,NA,2023-01-12 15:19:00
cargo,0.3.12,2023-01-13 20:14:41,human,UL,2022-09-28 05:53:00
climate,1.1.0,2023-01-13 20:14:41,human,UL,2022-10-12 14:28:00
clpAPI,1.3.2,2023-01-13 20:14:41,human,UL,2022-10-21 13:20:00
coala,0.7.1,2023-01-13 20:14:41,human,UL,2022-12-30 15:35:00
cplexAPI,1.5.1,2023-01-13 20:14:41,human,UL,2022-10-21 13:23:00
doRNG,1.8.6,2023-01-13 20:14:41,waiting,NA,2023-01-13 16:21:00
emplikAUC,0.3,2023-01-13 20:14:41,human,VW,2023-01-13 05:47:00
eoa3,1.0,2023-01-13 20:14:41,newbies,NA,2023-01-13 16:59:00
EpiNow2,1.3.3,2023-01-13 20:14:41,human,UL,2022-11-01 15:20:00
epitrix,0.4.0,2023-01-13 20:14:41,pretest,NA,2023-01-13 20:05:00
et.nwfva,0.1.1,2023-01-13 20:14:41,human,UL,2022-11-22 09:51:00
evoTS,1.0.0,2023-01-13 20:14:41,newbies,NA,2023-01-13 14:55:00
factset.protobuf.stachextensions,1.0.2,2023-01-13 20:14:41,human,UL,2022-11-18 12:46:00
FAIRmaterials,0.2.0,2023-01-13 20:14:41,waiting,NA,2023-01-11 01:42:00
fritools,4.0.0,2023-01-13 20:14:41,human,UL,2022-10-12 14:47:00
fsemipar,1.0,2023-01-13 20:14:41,inspect,NA,2023-01-13 16:22:00
fwildclusterboot,0.12.1,2023-01-13 20:14:41,human,UL,2022-11-20 10:13:00
IDSL.FSA,1.0,2023-01-13 20:14:41,newbies,NA,2023-01-13 14:54:00
mateable,0.3.2,2023-01-13 20:14:41,newbies,NA,2023-01-13 19:35:00
mathml,0.4,2023-01-13 20:14:41,inspect,NA,2023-01-13 17:31:00
OssaNMA,0.1.0,2023-01-13 20:14:41,inspect,NA,2023-01-13 16:48:00
parfm,2.7.7,2023-01-13 20:14:41,human,UL,2022-11-25 13:44:00
PBtDesigns,1.0.0,2023-01-13 20:14:41,newbies,NA,2023-01-13 11:33:00
pomp,4.6,2023-01-13 20:14:41,human,UL,2023-01-09 23:08:00
QurvE,1.0,2023-01-13 20:14:41,human,UL,2023-01-12 10:45:00
QurvE,1.0.pdf,2023-01-13 20:14:41,human,UL,2023-01-12 10:46:00
riot,1.1.1,2023-01-13 20:14:41,inspect,NA,2023-01-09 14:49:00
rlibkriging,0.7-4,2023-01-13 20:14:41,inspect,NA,2023-01-13 17:39:00
SAME,0.1.0,2023-01-13 20:14:41,inspect,NA,2023-01-13 15:26:00
sca,0.9-1,2023-01-13 20:14:41,pretest,NA,2023-01-13 19:58:00
shiny.i18n,0.3.0,2023-01-13 20:14:41,waiting,NA,2023-01-13 15:31:00
tosr,0.1.2,2023-01-13 20:14:41,waiting,NA,2023-01-13 18:38:00
USA.state.boundaries,1.0.1,2023-01-13 20:14:41,inspect,NA,2023-01-12 15:48:00
usedthese,0.1.0,2023-01-13 20:14:41,newbies,NA,2023-01-13 13:04:00
viscomp,1.0.0,2023-01-13 20:14:41,newbies,NA,2023-01-13 12:52:00
wflo,1.8,2023-01-13 20:14:41,inspect,NA,2023-01-13 07:43:00
zyp,0.11,2023-01-13 20:14:41,waiting,NA,2023-01-12 03:13:00
