package,version,snapshot_time,folder,subfolder,submission_time
admiral.test,0.1.2,2022-02-14 22:15:31,newbies,NA,2022-02-14 15:07:00
ArchaeoPhases,1.6,2022-02-14 22:15:31,inspect,NA,2022-02-14 20:32:00
cassowaryr,1.0.1,2022-02-14 22:15:31,waiting,NA,2022-02-02 04:14:00
ClimMobTools,0.4.4,2022-02-14 22:15:31,newbies,NA,2022-02-14 18:23:00
contribution,0.2.1,2022-02-14 22:15:31,waiting,NA,2022-02-13 01:46:00
epidm,1.0.2,2022-02-14 22:15:31,newbies,NA,2022-02-14 14:03:00
garma,0.9.11,2022-02-14 22:15:31,inspect,NA,2022-02-14 20:30:00
geobr,1.6.6,2022-02-14 22:15:31,waiting,NA,2022-02-04 14:04:00
iq,1.9.2,2022-02-14 22:15:31,inspect,NA,2022-02-04 18:00:00
jaatha,3.2.2,2022-02-14 22:15:31,newbies,NA,2022-02-14 17:05:00
LMN,1.1.1,2022-02-14 22:15:31,inspect,NA,2022-02-14 18:09:00
LogisticRCI,1.0,2022-02-14 22:15:31,newbies,NA,2022-02-14 20:56:00
metR,0.12.0,2022-02-14 22:15:31,inspect,NA,2022-02-14 20:56:00
mvabund,4.2.1,2022-02-14 22:15:31,waiting,NA,2022-02-11 08:10:00
pSI,1.2,2022-02-14 22:15:31,newbies,NA,2022-02-14 18:09:00
QuESTr,0.1.1,2022-02-14 22:15:31,newbies,NA,2022-02-14 20:34:00
rankFD,0.1.1,2022-02-14 22:15:31,inspect,NA,2022-02-10 21:17:00
regweight,1.0.2,2022-02-14 22:15:31,waiting,NA,2022-02-14 17:56:00
spatstat.core,2.4-0,2022-02-14 22:15:31,waiting,NA,2022-02-13 00:56:00
TwoPhaseInd,1.1.2,2022-02-14 22:15:31,pretest,NA,2022-02-14 21:10:00
